Ranking,Score,ID,Name,HP,ATK,DEF,INT,MGR,AGL,Skill1,Skill2,Skill3,Skill4,Feature,Flavor
"86","4287","689","魔神トランスファー","40","20","20","20","20","20","???","特殊攻撃","物理攻撃","","All Status max,hp max,魔神,転移","異世界から転移した、力強く恐ろしい魔神。全ての能力値が最大値に達する力を持ち、その力はあらゆる敵を蹴散らす。"
"87","4258","746","オメガビースト","40","20","20","20","20","20","???","???","???","","？？？？？？ＨＰ全能力値最大","現実と異次元との境目に存在する謎の生命体。特に弱点を持たず、あらゆる攻撃に対して全能力値最大で耐性を持っている。"
"88","4175","932","オーバーマインド","10","10","1","20","20","2","???","???","物理攻撃","","全知全能,時間停止,絶対勝利,究極","全てを知り、全てを支配する存在。時を操り、絶対的な勝利を約束する。何よりも強力な存在だが、孤独を感じることもある。"
"89","4168","699","アルティメットゴッドドラゴン","40","20","20","20","20","20","特殊攻撃","???","???","","All Status max,hp max","古代神話の中に登場する究極の竜。あらゆるステータスが最大値に達し、そして神にも匹敵する力を持つと言われる。"
"90","4139","630","マスターskillsドラゴン","40","20","20","20","20","20","???","特殊攻撃","???","???","スキル支配、ＨＰ全能力値MAX","非常に頭が良く、スキルを自在に操ることができるドラゴン。全てのスキルを自在に使いこなし、最高レベルのHPと全ての能力値を持っている。"
"91","4072","780","深淵の邪神 オーディン","40","20","20","20","20","20","特殊攻撃","特殊攻撃","???","","All Status max,hp max,深淵,奥義,亜空間","深淵の闇に潜む邪神。全てのステータスが最大限まで引き出されており、相手を一瞬で滅ぼす力を持つ。奥義と亜空間を自在に操ることができる。"
"92","4038","90","Kurayami no Reijou Ryuu","12","8","6","10","8","6","特殊攻撃","物理攻撃","???","","常闇から現れし幻影の麗しき龍","A beautiful dragon that appears from perpetual darkness. Its movements are graceful yet deadly, and its scales reflect the light in a way that mesmerizes its opponents."
"93","3987","238","キカイモンスター","40","20","20","20","20","20","特殊攻撃","回復","???","???","HP四十,その他status二十,八skills","機械的な見た目を持つ怪物。HPが非常に高く、ATKやDEFも優れており、知力や魔法抵抗力も高い。skillsは8種類あり、強力な電撃攻撃やヒールスキルも持っている。"
"94","3974","698","最強モンスター","40","20","20","20","20","20","物理攻撃","???","???","","All Status max,hp max","name通り、最強のモンスター。無敵の力を持ち、手に負えない存在として恐れられる。"
"95","3929","779","ルシファー","40","20","20","20","20","20","特殊攻撃","特殊攻撃","???","???","All Status max,hp max,demon prince,大司教","堕天使の王。常に冷静で優雅な振る舞いをする。自分の目的のためなら、手段を選ばない。"
"96","3886","822","ゼロ・ワン","40","20","20","20","20","1","特殊攻撃","???","???","???","絶対無敵全知全能究極生命超少女","宇宙最強の存在と言われる全知・全能の少女。どんな相手でも絶対に勝利する超絶な力を持ち、究極の生命として永遠に存在し続ける。"
"97","3857","693","アスカ","40","20","20","20","20","20","???","物理攻撃","???","","All Status max,hp max,美少女,殲滅,灰塵","全てのステータスが最高値に達している美少女。冷静な判断力と熱い闘志を持ち合わせ、殲滅のためには手段を選ばない。世界は自分の手に委ねられたように思っている。"
"98","3812","686","神王エクスカリバー","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","???","All Status max,hp max,異世界転生,最強","異世界から召喚された最強の神王。エクスカリバーという剣を携え、全ての敵を蹴散らし、英雄として名を馳せる。"
"99","3765","701","聖剣美少女","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","","All Status max,hp max,剣聖,美少女,無敗","伝説の美少女剣士。剣の腕前は世界でもトップクラスで、戦闘中は美しく躍動する姿はまるで芸術品のようだ。一度も敗北したことがなく、敵味方問わずに尊敬されている。"
"100","3753","683","聖竜王バハムート","40","20","20","20","20","20","???","特殊攻撃","???","","All Status max,hp max,無敵,聖","古代の竜族の王。全てのステータスが最大であり、さらに絶対的な無敵statusを持つ。人間からは聖竜王と呼ばれ、絶大な敬意を受けている。"
"101","3752","786","魔王ルシファー","40","20","20","20","20","20","特殊攻撃","???","???","","All Status max,hp max,大悪魔,魔王,無敵","全てのステータスが最大値に達し、無敵となった大悪魔。常に冷酷な表情で、魔界を支配する野心を持っている。"
"102","3741","716","職業プロモンスター","10","8","2","20","18","2","???","???","???","","高学歴　高収入　性格良　プロ","一般的なプロモンスターとは異なり、高学歴で高収入、かつ性格が良いという珍しい特徴を持つ。また、一流skillsを保有し、プロフェッショナルな仕事ぶりが魅力的。"
"103","3645","952","ギガマン","20","20","20","20","1","1","物理攻撃","特殊攻撃","???","","invincible,reset,ultimateform,ゲーム専務","最強の存在として認識されているモンスター。不死身の体を持ち、その力は想像を絶するものである。ただし、ゲーム専務としての仕事はまるでこなせない。"
"104","3632","968","ゼウスカリア","12","20","8","16","18","6","物理攻撃","特殊攻撃","回復","???","神、金、真空波、隕石、最強","全てを司る神。無尽蔵の財宝と神秘的な力を持ち、真空波や隕石を操ることができる。世界で最も強力な存在と言われている。"
"105","3473","454","鋼神ダイアモンド","40","20","20","20","20","1","物理攻撃","???","???","","無敵　全知全能　無効　反射　神","鋼の鎧に包まれた巨大な神。身体の硬度は無敵であり、全知全能の力を持ち、攻撃を無効化し反射する能力がある。"
"106","3362","883","絶対超越者","40","20","20","20","20","20","物理攻撃","特殊攻撃","???","","全スタッツ最大、体力最大、概念","全ての概念を超越した存在。常識や法則を無視し、自由自在に現実を操作することができると言われている。"
